ID,jumlah_promosi
2241,0
2274,0
1107,0
4478,3
5080,4
5725,4
456,1
1711,0
2940,4
3031,0
3551,4
5987,5
6925,1
5735,4
298,0
4020,3
3127,5
7432,6
7375,6
1996,1
5966,5
6697,0
3544,0
7122,6
1379,0
505,0
224,0
3024,0
2946,0
153,0
229,0
7411,5
2655,3
6972,5
320,0
5205,4
2454,2
3482,6
6708,5
3028,0
5747,4
787,6
6608,5
3188,1
5995,5
10,0
1556,0
2100,0
4496,3
6847,5
2681,0
570,0
4800,3
5642,4
6813,5
5820,4
3731,2
4586,1
6650,5
2024,3
3512,2
2532,0
3640,1
129,0
6712,5
6460,0
5050,4
4665,3
4532,3
2434,6
4832,3
5451,4
6220,5
1922,1
7414,6
4959,3
2165,0
7523,6
1448,2
2121,0
6991,5
6533,5
152,0
2474,5
6976,5
1208,3
6369,5
907,0
4663,3
2063,0
524,0
7455,3
5072,4
2293,0
7116,6
3319,1
5402,4
2703,0
3903,2
5498,4
3829,2
2327,1
5221,0
5517,4
3692,2
5198,3
2742,0
6303,5
1484,0
3124,1
2764,0
426,0
4334,3
1115,0
988,0
6412,5
681,1
4240,3
3757,2
3711,1
5911,4
6818,5
3933,2
5153,4
407,0
2665,0
6272,5
117,0
3536,0
5828,4
773,0
7026,6
4269,3
4874,3
6374,5
445,1
2019,0
3235,1
4380,3
4795,3
4221,3
5770,4
7457,6
4504,3
1818,0
227,0
3716,2
7568,0
4983,3
6101,5
601,1
6660,5
7578,6
5884,4
3296,1
6114,5
5306,4
93,0
6397,5
5393,4
5739,4
5782,4
4238,3
7349,6
7600,6
1841,0
2862,0
6413,5
337,0
84,0
5332,4
4147,2
5435,4
2462,0
6565,5
4895,3
1056,0
203,1
5183,4
376,0
2303,0
1659,0
6393,5
6433,5
3562,0
868,0
3374,1
2315,0
1822,0
2008,0
2290,0
6926,5
3914,0
4054,2
2072,0
1177,0
7402,6
4158,3
6495,5
6432,5
4853,3
5307,4
3661,2
5954,4
4273,3
4525,3
4989,3
4690,3
1071,1
537,1
1350,0
3079,1
4217,3
5453,4
5783,4
7456,6
6798,5
6197,5
6095,5
923,0
4290,3
2492,0
7562,6
2269,0
6988,5
4460,3
1285,0
6941,5
7620,6
382,1
2510,4
4357,5
6875,5
1929,0
5649,4
5250,4
1061,0
7593,6
6523,5
2284,5
431,2
2423,0
6352,5
5567,4
4403,3
1336,0
1138,0
5659,4
1597,0
101,1
796,4
5711,4
2173,0
4821,3
7461,6
3248,1
7308,6
3528,1
256,0
6502,5
7154,6
3098,3
6184,5
70,0
1282,0
3273,1
2741,1
2481,6
1920,0
4328,3
5874,4
7174,6
5842,4
7127,6
4224,3
5975,5
4200,3
2806,0
6458,5
5571,4
1777,1
4184,1
457,0
4303,3
6999,5
3876,3
2353,5
273,0
774,1
7347,6
5582,4
1414,0
1116,0
766,0
5340,4
913,0
5937,4
2363,3
504,0
5556,4
2417,0
1020,0
4678,3
6671,5
6643,5
6018,5
5367,6
3141,5
2362,0
2180,0
